gene	Sham_C.WNVp_C	WNVp_C.WNVp_WNV	Sham_WNV.WNVp_WNV	WNVp_WNV.WNVp_JEV	Sham_JEV.WNVp_JEV	Sham_C.Sham_WNV	Sham_C.Sham_JEV	Sham_C.WNVp_WNV	Sham_C.WNVp_JEV	Name	description	attributes
CPIJ000118	0	0	0	1	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYY9]	ID=gene:CPIJ000118;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYY9];gene_id=CPIJ000118;logic_name=vectorbase_culex
CPIJ000128	0	0	0	0	1	0	0	0	0		Galactokinase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ29]	ID=gene:CPIJ000128;biotype=protein_coding;description=Galactokinase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ29];gene_id=CPIJ000128;logic_name=vectorbase_culex
CPIJ000131	0	0	0	0	0	0	1	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYZ9]	ID=gene:CPIJ000131;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYZ9];gene_id=CPIJ000131;logic_name=vectorbase_culex
CPIJ000134	0	0	0	0	1	0	0	0	0		Phosphatidate phosphatase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ03]	ID=gene:CPIJ000134;biotype=protein_coding;description=Phosphatidate phosphatase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ03];gene_id=CPIJ000134;logic_name=vectorbase_culex
CPIJ000135	0	0	0	1	0	0	0	0	1		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0VZ04]	ID=gene:CPIJ000135;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0VZ04];gene_id=CPIJ000135;logic_name=vectorbase_culex
CPIJ000141	0	0	0	0	0	0	1	0	0		Defective proboscis extension [Source:UniProtKB/TrEMBL%3BAcc:B0VZ07]	ID=gene:CPIJ000141;biotype=protein_coding;description=Defective proboscis extension [Source:UniProtKB/TrEMBL%3BAcc:B0VZ07];gene_id=CPIJ000141;logic_name=vectorbase_culex
CPIJ000146	0	0	0	0	0	1	0	0	0		superoxide dismutase 2 [Source:VB Community Annotation]	ID=gene:CPIJ000146;biotype=protein_coding;description=superoxide dismutase 2 [Source:VB Community Annotation];gene_id=CPIJ000146;logic_name=vectorbase_culex
CPIJ000161	0	0	0	1	0	0	0	0	0		NEDD4 family-interacting protein 1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZP2]	ID=gene:CPIJ000161;biotype=protein_coding;description=NEDD4 family-interacting protein 1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZP2];gene_id=CPIJ000161;logic_name=vectorbase_culex
CPIJ000176	0	0	0	1	0	0	1	0	1		Inhibitor-2%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000176;biotype=protein_coding;description=Inhibitor-2%2C putative [Source:VB Community Annotation];gene_id=CPIJ000176;logic_name=vectorbase_culex
CPIJ000182	0	0	0	0	0	0	0	0	1		N-acetylneuraminate lyase [Source:VB Community Annotation]	ID=gene:CPIJ000182;biotype=protein_coding;description=N-acetylneuraminate lyase [Source:VB Community Annotation];gene_id=CPIJ000182;logic_name=vectorbase_culex
CPIJ000187	0	0	0	0	0	0	1	0	0		Mitogen-activated protein kinase kinase kinase 7 [Source:UniProtKB/TrEMBL%3BAcc:B0VZR8]	ID=gene:CPIJ000187;biotype=protein_coding;description=Mitogen-activated protein kinase kinase kinase 7 [Source:UniProtKB/TrEMBL%3BAcc:B0VZR8];gene_id=CPIJ000187;logic_name=vectorbase_culex
CPIJ000190	0	0	0	0	0	0	1	0	0	eIF3-S4	eukaryotic translation initiation factor 3 subunit 4 [Source:VB Community Annotation]	ID=gene:CPIJ000190;Name=eIF3-S4;biotype=protein_coding;description=eukaryotic translation initiation factor 3 subunit 4 [Source:VB Community Annotation];gene_id=CPIJ000190;logic_name=vectorbase_culex
CPIJ000193	0	0	0	0	1	0	0	0	0		Calcyphosin [Source:UniProtKB/TrEMBL%3BAcc:B0VZS4]	ID=gene:CPIJ000193;biotype=protein_coding;description=Calcyphosin [Source:UniProtKB/TrEMBL%3BAcc:B0VZS4];gene_id=CPIJ000193;logic_name=vectorbase_culex
CPIJ000195	0	0	0	0	0	1	1	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZS6]	ID=gene:CPIJ000195;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZS6];gene_id=CPIJ000195;logic_name=vectorbase_culex
CPIJ000202	0	0	0	0	0	1	0	0	0		protein kinase C inhibitor%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000202;biotype=protein_coding;description=protein kinase C inhibitor%2C putative [Source:VB Community Annotation];gene_id=CPIJ000202;logic_name=vectorbase_culex
CPIJ000214	0	0	0	0	1	0	0	0	0		Serpin B10 [Source:UniProtKB/TrEMBL%3BAcc:B0VZU5]	ID=gene:CPIJ000214;biotype=protein_coding;description=Serpin B10 [Source:UniProtKB/TrEMBL%3BAcc:B0VZU5];gene_id=CPIJ000214;logic_name=vectorbase_culex
CPIJ000246	0	0	0	0	0	0	0	0	1		Protein YIPF [Source:UniProtKB/TrEMBL%3BAcc:B0VZD5]	ID=gene:CPIJ000246;biotype=protein_coding;description=Protein YIPF [Source:UniProtKB/TrEMBL%3BAcc:B0VZD5];gene_id=CPIJ000246;logic_name=vectorbase_culex
CPIJ000252	0	0	0	1	1	0	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZE1]	ID=gene:CPIJ000252;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZE1];gene_id=CPIJ000252;logic_name=vectorbase_culex
CPIJ000264	0	0	0	0	0	1	1	0	0		survival motor neuron-interacting protein 1 [Source:VB Community Annotation]	ID=gene:CPIJ000264;biotype=protein_coding;description=survival motor neuron-interacting protein 1 [Source:VB Community Annotation];gene_id=CPIJ000264;logic_name=vectorbase_culex
CPIJ000276	0	0	0	0	0	1	0	0	1		Proteasome inhibitor PI31 subunit [Source:UniProtKB/TrEMBL%3BAcc:B0VZG5]	ID=gene:CPIJ000276;biotype=protein_coding;description=Proteasome inhibitor PI31 subunit [Source:UniProtKB/TrEMBL%3BAcc:B0VZG5];gene_id=CPIJ000276;logic_name=vectorbase_culex
CPIJ000277	0	0	0	0	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZG6]	ID=gene:CPIJ000277;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZG6];gene_id=CPIJ000277;logic_name=vectorbase_culex
CPIJ000280	0	0	0	1	0	0	1	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZG9]	ID=gene:CPIJ000280;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZG9];gene_id=CPIJ000280;logic_name=vectorbase_culex
CPIJ000285	0	0	0	1	1	0	0	0	0		RING finger protein 185 [Source:UniProtKB/TrEMBL%3BAcc:B0VZH4]	ID=gene:CPIJ000285;biotype=protein_coding;description=RING finger protein 185 [Source:UniProtKB/TrEMBL%3BAcc:B0VZH4];gene_id=CPIJ000285;logic_name=vectorbase_culex
CPIJ000287	0	0	0	1	1	0	0	0	1		Cop-coated vesicle membrane protein P24 [Source:UniProtKB/TrEMBL%3BAcc:B0VZH6]	ID=gene:CPIJ000287;biotype=protein_coding;description=Cop-coated vesicle membrane protein P24 [Source:UniProtKB/TrEMBL%3BAcc:B0VZH6];gene_id=CPIJ000287;logic_name=vectorbase_culex
CPIJ000305	0	0	0	0	0	1	1	0	0		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0VZJ4]	ID=gene:CPIJ000305;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0VZJ4];gene_id=CPIJ000305;logic_name=vectorbase_culex
CPIJ000309	0	0	0	1	0	0	0	0	0		Sam/hd domain protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZJ8]	ID=gene:CPIJ000309;biotype=protein_coding;description=Sam/hd domain protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZJ8];gene_id=CPIJ000309;logic_name=vectorbase_culex
CPIJ000310	0	0	0	1	0	0	0	0	0		Heparan sulfate 2-o-sulfotransferase [Source:UniProtKB/TrEMBL%3BAcc:B0VZJ9]	ID=gene:CPIJ000310;biotype=protein_coding;description=Heparan sulfate 2-o-sulfotransferase [Source:UniProtKB/TrEMBL%3BAcc:B0VZJ9];gene_id=CPIJ000310;logic_name=vectorbase_culex
CPIJ000324	0	0	0	0	0	1	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZL3]	ID=gene:CPIJ000324;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZL3];gene_id=CPIJ000324;logic_name=vectorbase_culex
CPIJ000325	0	0	0	0	0	0	1	0	0		DNA primase small subunit [Source:VB Community Annotation]	ID=gene:CPIJ000325;biotype=protein_coding;description=DNA primase small subunit [Source:VB Community Annotation];gene_id=CPIJ000325;logic_name=vectorbase_culex
CPIJ000330	0	0	0	1	1	1	0	0	1		tenascin precursor [Source:VB Community Annotation]	ID=gene:CPIJ000330;biotype=protein_coding;description=tenascin precursor [Source:VB Community Annotation];gene_id=CPIJ000330;logic_name=vectorbase_culex
CPIJ000336	0	0	0	0	0	0	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZM5]	ID=gene:CPIJ000336;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZM5];gene_id=CPIJ000336;logic_name=vectorbase_culex
CPIJ000346	0	0	0	0	1	1	0	0	0		macroglobulin/complement%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000346;biotype=protein_coding;description=macroglobulin/complement%2C putative [Source:VB Community Annotation];gene_id=CPIJ000346;logic_name=vectorbase_culex
CPIJ000347	0	0	1	0	1	0	0	0	0		CD109 antigen precursor [Source:VB Community Annotation]	ID=gene:CPIJ000347;biotype=protein_coding;description=CD109 antigen precursor [Source:VB Community Annotation];gene_id=CPIJ000347;logic_name=vectorbase_culex
CPIJ000358	0	0	0	0	0	1	1	0	1		TFIIH basal transcription factor complex p34 subunit [Source:UniProtKB/TrEMBL%3BAcc:B0VZZ4]	ID=gene:CPIJ000358;biotype=protein_coding;description=TFIIH basal transcription factor complex p34 subunit [Source:UniProtKB/TrEMBL%3BAcc:B0VZZ4];gene_id=CPIJ000358;logic_name=vectorbase_culex
CPIJ000360	0	0	0	1	0	0	1	0	1		YEATS domain containing protein 4 [Source:UniProtKB/TrEMBL%3BAcc:B0VZZ6]	ID=gene:CPIJ000360;biotype=protein_coding;description=YEATS domain containing protein 4 [Source:UniProtKB/TrEMBL%3BAcc:B0VZZ6];gene_id=CPIJ000360;logic_name=vectorbase_culex
CPIJ000370	0	0	0	1	0	0	1	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W006]	ID=gene:CPIJ000370;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W006];gene_id=CPIJ000370;logic_name=vectorbase_culex
CPIJ000371	0	0	0	1	0	0	0	0	0		transcription factor A%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ000371;biotype=protein_coding;description=transcription factor A%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ000371;logic_name=vectorbase_culex
CPIJ000372	0	0	0	0	0	1	1	0	0		L-xylulose reductase [Source:UniProtKB/TrEMBL%3BAcc:B0W008]	ID=gene:CPIJ000372;biotype=protein_coding;description=L-xylulose reductase [Source:UniProtKB/TrEMBL%3BAcc:B0W008];gene_id=CPIJ000372;logic_name=vectorbase_culex
CPIJ000373	0	0	0	0	0	1	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W009]	ID=gene:CPIJ000373;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W009];gene_id=CPIJ000373;logic_name=vectorbase_culex
CPIJ000375	0	0	0	0	1	0	0	0	0		glutaryl-CoA dehydrogenase%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ000375;biotype=protein_coding;description=glutaryl-CoA dehydrogenase%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ000375;logic_name=vectorbase_culex
CPIJ000387	0	0	0	1	1	0	0	0	1		Ubiquitin conjugating enzyme 7 interacting protein [Source:UniProtKB/TrEMBL%3BAcc:B0W023]	ID=gene:CPIJ000387;biotype=protein_coding;description=Ubiquitin conjugating enzyme 7 interacting protein [Source:UniProtKB/TrEMBL%3BAcc:B0W023];gene_id=CPIJ000387;logic_name=vectorbase_culex
CPIJ000388	0	0	0	0	1	0	0	0	0		Ubiquitin conjugating enzyme 7 interacting protein [Source:UniProtKB/TrEMBL%3BAcc:B0W024]	ID=gene:CPIJ000388;biotype=protein_coding;description=Ubiquitin conjugating enzyme 7 interacting protein [Source:UniProtKB/TrEMBL%3BAcc:B0W024];gene_id=CPIJ000388;logic_name=vectorbase_culex
CPIJ000400	0	0	0	1	0	0	0	0	0		3-hydroxyisobutyrate dehydrogenase%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000400;biotype=protein_coding;description=3-hydroxyisobutyrate dehydrogenase%2C putative [Source:VB Community Annotation];gene_id=CPIJ000400;logic_name=vectorbase_culex
CPIJ000409	0	0	0	0	0	1	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W045]	ID=gene:CPIJ000409;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W045];gene_id=CPIJ000409;logic_name=vectorbase_culex
CPIJ000413	0	0	0	0	0	1	1	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W049]	ID=gene:CPIJ000413;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W049];gene_id=CPIJ000413;logic_name=vectorbase_culex
CPIJ000421	0	0	0	0	0	1	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W057]	ID=gene:CPIJ000421;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W057];gene_id=CPIJ000421;logic_name=vectorbase_culex
CPIJ000432	0	0	0	0	0	1	1	0	0		t-box transcription factor tbx20 [Source:VB Community Annotation]	ID=gene:CPIJ000432;biotype=protein_coding;description=t-box transcription factor tbx20 [Source:VB Community Annotation];gene_id=CPIJ000432;logic_name=vectorbase_culex
CPIJ000440	0	0	0	0	0	1	0	0	0		serine protease%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000440;biotype=protein_coding;description=serine protease%2C putative [Source:VB Community Annotation];gene_id=CPIJ000440;logic_name=vectorbase_culex
CPIJ000443	0	0	0	0	0	1	0	0	0		galactose-specific C-type lectin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000443;biotype=protein_coding;description=galactose-specific C-type lectin%2C putative [Source:VB Community Annotation];gene_id=CPIJ000443;logic_name=vectorbase_culex
CPIJ000444	0	0	0	0	0	0	1	0	0		serine protease%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000444;biotype=protein_coding;description=serine protease%2C putative [Source:VB Community Annotation];gene_id=CPIJ000444;logic_name=vectorbase_culex
CPIJ000449	0	0	0	0	0	1	0	0	0		galactose-specific C-type lectin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000449;biotype=protein_coding;description=galactose-specific C-type lectin%2C putative [Source:VB Community Annotation];gene_id=CPIJ000449;logic_name=vectorbase_culex
CPIJ000455	0	0	0	0	0	1	0	0	0		Ribonuclease UK114 [Source:UniProtKB/TrEMBL%3BAcc:B0W091]	ID=gene:CPIJ000455;biotype=protein_coding;description=Ribonuclease UK114 [Source:UniProtKB/TrEMBL%3BAcc:B0W091];gene_id=CPIJ000455;logic_name=vectorbase_culex
CPIJ000458	0	0	0	0	0	0	0	0	1		Nicotinamide riboside kinase 1 [Source:UniProtKB/TrEMBL%3BAcc:B0W094]	ID=gene:CPIJ000458;biotype=protein_coding;description=Nicotinamide riboside kinase 1 [Source:UniProtKB/TrEMBL%3BAcc:B0W094];gene_id=CPIJ000458;logic_name=vectorbase_culex
CPIJ000467	0	0	0	0	0	1	0	0	0		Pla2g4b [Source:UniProtKB/TrEMBL%3BAcc:B0W0A3]	ID=gene:CPIJ000467;biotype=protein_coding;description=Pla2g4b [Source:UniProtKB/TrEMBL%3BAcc:B0W0A3];gene_id=CPIJ000467;logic_name=vectorbase_culex
CPIJ000477	0	0	0	0	0	0	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0B3]	ID=gene:CPIJ000477;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0B3];gene_id=CPIJ000477;logic_name=vectorbase_culex
CPIJ000490	0	0	0	0	0	0	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0C6]	ID=gene:CPIJ000490;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0C6];gene_id=CPIJ000490;logic_name=vectorbase_culex
CPIJ000508	0	0	0	0	0	0	1	0	0		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0W0E4]	ID=gene:CPIJ000508;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0W0E4];gene_id=CPIJ000508;logic_name=vectorbase_culex
CPIJ000509	0	0	0	1	1	0	0	0	1		Adenosine kinase [Source:UniProtKB/TrEMBL%3BAcc:B0W0E5]	ID=gene:CPIJ000509;biotype=protein_coding;description=Adenosine kinase [Source:UniProtKB/TrEMBL%3BAcc:B0W0E5];gene_id=CPIJ000509;logic_name=vectorbase_culex
CPIJ000532	0	0	0	1	0	1	1	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0G8]	ID=gene:CPIJ000532;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0G8];gene_id=CPIJ000532;logic_name=vectorbase_culex
CPIJ000566	0	0	0	0	0	1	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0U5]	ID=gene:CPIJ000566;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0U5];gene_id=CPIJ000566;logic_name=vectorbase_culex
CPIJ000572	0	0	0	1	0	0	0	0	1		Steroid dehydrogenase [Source:UniProtKB/TrEMBL%3BAcc:B0W0V1]	ID=gene:CPIJ000572;biotype=protein_coding;description=Steroid dehydrogenase [Source:UniProtKB/TrEMBL%3BAcc:B0W0V1];gene_id=CPIJ000572;logic_name=vectorbase_culex
CPIJ000593	0	0	0	0	1	0	0	0	0		coagulation factor XI precursor [Source:VB Community Annotation]	ID=gene:CPIJ000593;biotype=protein_coding;description=coagulation factor XI precursor [Source:VB Community Annotation];gene_id=CPIJ000593;logic_name=vectorbase_culex
CPIJ000594	0	0	0	1	0	0	0	0	0		Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0X3]	ID=gene:CPIJ000594;biotype=protein_coding;description=Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0X3];gene_id=CPIJ000594;logic_name=vectorbase_culex
CPIJ000615	0	0	0	1	1	1	0	0	1		clip-domain serine protease%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000615;biotype=protein_coding;description=clip-domain serine protease%2C putative [Source:VB Community Annotation];gene_id=CPIJ000615;logic_name=vectorbase_culex
CPIJ000616	0	0	0	0	0	1	0	0	0		clip-domain serine protease%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000616;biotype=protein_coding;description=clip-domain serine protease%2C putative [Source:VB Community Annotation];gene_id=CPIJ000616;logic_name=vectorbase_culex
CPIJ000637	0	0	0	0	0	1	1	0	0		NBP2b protein%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000637;biotype=protein_coding;description=NBP2b protein%2C putative [Source:VB Community Annotation];gene_id=CPIJ000637;logic_name=vectorbase_culex
CPIJ000660	0	0	0	0	0	0	1	0	0		Timeout/timeless-2 [Source:UniProtKB/TrEMBL%3BAcc:B0W0J1]	ID=gene:CPIJ000660;biotype=protein_coding;description=Timeout/timeless-2 [Source:UniProtKB/TrEMBL%3BAcc:B0W0J1];gene_id=CPIJ000660;logic_name=vectorbase_culex
CPIJ000682	0	0	0	0	0	0	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0L3]	ID=gene:CPIJ000682;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0L3];gene_id=CPIJ000682;logic_name=vectorbase_culex
CPIJ000689	0	0	0	1	1	0	0	0	0		Eukaryotic translation initiation factor 5 [Source:UniProtKB/TrEMBL%3BAcc:B0W0M0]	ID=gene:CPIJ000689;biotype=protein_coding;description=Eukaryotic translation initiation factor 5 [Source:UniProtKB/TrEMBL%3BAcc:B0W0M0];gene_id=CPIJ000689;logic_name=vectorbase_culex
CPIJ000693	0	0	0	0	0	1	0	0	0		ubiquinone/menaquinone biosynthesis methyltransferase ubiE [Source:VB Community Annotation]	ID=gene:CPIJ000693;biotype=protein_coding;description=ubiquinone/menaquinone biosynthesis methyltransferase ubiE [Source:VB Community Annotation];gene_id=CPIJ000693;logic_name=vectorbase_culex
CPIJ000729	0	0	0	0	0	1	1	0	0	mRpL18	39S ribosomal protein L18%2C mitochondrial [Source:VB Community Annotation]	ID=gene:CPIJ000729;Name=mRpL18;biotype=protein_coding;description=39S ribosomal protein L18%2C mitochondrial [Source:VB Community Annotation];gene_id=CPIJ000729;logic_name=vectorbase_culex
CPIJ000731	0	0	0	0	0	1	1	0	0		suppressor/enhancer of lin-12 protein 9 precursor [Source:VB Community Annotation]	ID=gene:CPIJ000731;biotype=protein_coding;description=suppressor/enhancer of lin-12 protein 9 precursor [Source:VB Community Annotation];gene_id=CPIJ000731;logic_name=vectorbase_culex
CPIJ000734	0	0	0	1	0	0	0	0	0		Glutaminyl-tRNA synthetase [Source:UniProtKB/TrEMBL%3BAcc:B0W0R5]	ID=gene:CPIJ000734;biotype=protein_coding;description=Glutaminyl-tRNA synthetase [Source:UniProtKB/TrEMBL%3BAcc:B0W0R5];gene_id=CPIJ000734;logic_name=vectorbase_culex
CPIJ000743	0	0	0	0	0	0	1	0	0		Heterochromatin protein 1 alpha [Source:UniProtKB/TrEMBL%3BAcc:B0W0S4]	ID=gene:CPIJ000743;biotype=protein_coding;description=Heterochromatin protein 1 alpha [Source:UniProtKB/TrEMBL%3BAcc:B0W0S4];gene_id=CPIJ000743;logic_name=vectorbase_culex
CPIJ000747	0	0	0	0	0	1	1	0	0		co-chaperone protein HscB%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ000747;biotype=protein_coding;description=co-chaperone protein HscB%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ000747;logic_name=vectorbase_culex
CPIJ000752	0	0	0	0	0	1	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1H4]	ID=gene:CPIJ000752;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1H4];gene_id=CPIJ000752;logic_name=vectorbase_culex
CPIJ000755	0	0	0	1	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1H7]	ID=gene:CPIJ000755;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1H7];gene_id=CPIJ000755;logic_name=vectorbase_culex
CPIJ000784	0	0	0	0	0	0	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1K6]	ID=gene:CPIJ000784;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1K6];gene_id=CPIJ000784;logic_name=vectorbase_culex
